claim_id,anchor,unit_type,ordinal,doc_line,sha1,cls,cases,merge_group,canonical,merged_into,exclusion_reason,rule,note,text
C-s2-mermaid-001,s2,mermaid,1,25,c137598f53c7f38496dd20ff2e9666a66aef07b2,D,,,,,"Architecture-overview diagram labels: phase names and grouping, the document's own organizing frame.",ANCHOR:s2,,BEFORE — Input Safety
C-s2-mermaid-002,s2,mermaid,2,25,51728bbbb131a25bd4abab721a144afc4a99be22,D,,,,,"Architecture-overview diagram labels: phase names and grouping, the document's own organizing frame.",ANCHOR:s2,,Gateway Guardrail + Input Guardrail
C-s2-mermaid-003,s2,mermaid,3,25,5c1409d98b1df4f87611a84a6d28d88ebaaaeb7b,D,,,,,"Architecture-overview diagram labels: phase names and grouping, the document's own organizing frame.",ANCHOR:s2,,DURING — Execution Control
C-s2-mermaid-004,s2,mermaid,4,25,a724feba7581594e33637c5e58eec8c817b62690,D,,,,,"Architecture-overview diagram labels: phase names and grouping, the document's own organizing frame.",ANCHOR:s2,,Agent Runtime + Tool Auth (Cedar) + Observability
C-s2-mermaid-005,s2,mermaid,5,25,5e0e15b198957ff8278539742cc4a83c449d3fb6,D,,,,,"Architecture-overview diagram labels: phase names and grouping, the document's own organizing frame.",ANCHOR:s2,,AFTER — Output Safety + Continuous Improvement
C-s2-mermaid-006,s2,mermaid,6,25,2a35cfa166d6d3038b0e04db163d6e55dd45769d,D,,,,,"Architecture-overview diagram labels: phase names and grouping, the document's own organizing frame.",ANCHOR:s2,,Output Guardrail + Evaluation + Optimization
C-s2-mermaid-007,s2,mermaid,7,25,738563e9dee55e98f0079bbeeb0449b5d5ca9831,D,,,,,"Architecture-overview diagram labels: phase names and grouping, the document's own organizing frame.",ANCHOR:s2,,"FEEDBACK LOOP (updated prompts, policies, thresholds)"
C-s2-1-prose-001,s2-1,prose,1,43,50ced036d1d90d411106e90abebed44053bbc8bb,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,"The hop numbering is **this document's own framework** (AWS documentation has no ""hop"" concept)."
C-s2-1-prose-002,s2-1,prose,2,43,1f93b4b65d4d3d829b7561e0b8f465d6818c50e4,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,"The table and the sequence diagram below are the normative definition; every other section, table, and diagram in this document uses these numbers."
C-s2-1-thead-001,s2-1,thead,1,45,5586e8505ab75aceb6bbbde34f1aab7f28d6b26b,D,,,,,"Table header row — column labels, not a proposition. The claims live in the body rows.",TYPE:*/thead,cells=3,Hop || Checkpoint || Phase
C-s2-1-trow-001,s2-1,trow,1,47,346d14f895be342ec82314bb490186afd5946db7,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,cells=3,1 || AgentCore Gateway Policy Guardrails (input) || BEFORE
C-s2-1-trow-002,s2-1,trow,2,48,a4c265daa47c9ed1bfd0eb64d0664a2969462a8c,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,cells=3,2 || Bedrock Guardrails — input evaluation (or ApplyGuardrail) || BEFORE
C-s2-1-trow-003,s2-1,trow,3,49,71d97e6bc336cae009ec715793544674d483b85d,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,cells=3,3 || Model inference (not a guardrail checkpoint; included for the latency budget) || DURING
C-s2-1-trow-004,s2-1,trow,4,50,d887ddbc0f8fece2bb4ffd6e986d2a95290d47c0,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,cells=3,4 || Agent-to-tool authorization (Cedar Policy) || DURING
C-s2-1-trow-005,s2-1,trow,5,51,f6f93221ed2a137d367abc43239b0480fa2284a7,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,cells=3,5 || Tool request/response guardrails (Gateway Policy) || DURING
C-s2-1-trow-006,s2-1,trow,6,52,5036e6214a5e61bbfa89ec2252f91c365155798c,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,cells=3,6 || Bedrock Guardrails — output evaluation || AFTER
C-s2-1-mermaid-001,s2-1,mermaid,1,56,088e29b0ab0079560dea5d3e5aeb2f7868af661e,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,request
C-s2-1-mermaid-002,s2-1,mermaid,2,56,d70ec1eaefef9cf94fe53eeed557b8421b05eea7,E,F4-6 F5-1,M-http-403-policy-id,no,C-s3-1-bullet-015,,OVERRIDE:C-s2-1-mermaid-002,,"Hop #1 — Gateway Policy Guardrails (input) violation → block, HTTP 403, agent never invoked"
C-s2-1-mermaid-003,s2-1,mermaid,3,56,ace0c5e90ac07202e99d0186576979bacac854c0,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,forward
C-s2-1-mermaid-004,s2-1,mermaid,4,56,9c7e05e5868afcf303ae4d1b7982921411378f96,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,prompt
C-s2-1-mermaid-005,s2-1,mermaid,5,56,083e63d6d515d4b5de7e6689322a3656e9beeb4b,S,F10-1,M-billing-asymmetry,no,C-s3-2-bullet-002-a,,OVERRIDE:C-s2-1-mermaid-005,,"Hop #2 — input evaluation violation → block, model inference skipped (no inference charge)"
C-s2-1-mermaid-006,s2-1,mermaid,6,56,9d4e1e23bd5b727046a9e3b4b7db57bd8d6ee684,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,pass
C-s2-1-mermaid-007,s2-1,mermaid,7,56,d6aa1f3a789f3f3108666e0ac807ca5ca7dc5fa5,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,invoke
C-s2-1-mermaid-008,s2-1,mermaid,8,56,4eb3d6cca3794800bab5b49dfa4e22ca3e384377,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,Hop #3 — model inference (latency budget only)
C-s2-1-mermaid-009,s2-1,mermaid,9,56,00bac3315dc29236140eeee7e3a5b3d75fae0b92,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,tool-call decision
C-s2-1-mermaid-010,s2-1,mermaid,10,56,98edbf6a9b55c52ed2c9dfea7049975655037026,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,tool call
C-s2-1-mermaid-011,s2-1,mermaid,11,56,21bc6b369e05229082578f13442633997cd92d28,E,F4-4,M-default-deny-permit-gotcha,no,C-s3-1-quote-001,,OVERRIDE:C-s2-1-mermaid-011,,"Hop #4 — Cedar authorization (deterministic, default-deny) Hop #5 — guardrails on tool request"
C-s2-1-mermaid-012,s2-1,mermaid,12,56,43b312f47e9d631765937b8c391866f6c8f66026,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,invoke tool
C-s2-1-mermaid-013,s2-1,mermaid,13,56,fcaa612a19440594d0bce2c15c71d6f022a8791a,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,tool response
C-s2-1-mermaid-014,s2-1,mermaid,14,56,7da0dc3e21237aac4e405c5f20a82b37db0d0d50,C,F1-17,,,,,OVERRIDE:C-s2-1-mermaid-014,,Hop #5 — guardrails on tool response (suppressOutput)
C-s2-1-mermaid-015,s2-1,mermaid,15,56,ce4e249b18ade888d2735f868cfebae23e7187f4,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,filtered result
C-s2-1-mermaid-016,s2-1,mermaid,16,56,fcf6e78781b5ef6a84b7463a053a9e62d1781ace,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,continue inference
C-s2-1-mermaid-017,s2-1,mermaid,17,56,1381936dd1ea9734a39dc3c4505d02806c6aa2fd,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,final answer
C-s2-1-mermaid-018,s2-1,mermaid,18,56,0ec6d150549780250a9772c06b619bcc46a0e560,D,,,,,"Hop numbering is explicitly declared as this document's own framework ('AWS documentation has no hop concept'). A naming convention cannot be false, only useful or not. Classifying it D rather than manufacturing a test is the correct scientific answer.",ANCHOR:s2-1,,response
C-s2-1-mermaid-019,s2-1,mermaid,19,56,89cbbff8b0543d00d93cbaaa85858ef959b0d48a,S,F3-1,,,,,OVERRIDE:C-s2-1-mermaid-019,,Hop #6 — output evaluation violation → block / mask before user sees it
C-s2-1-quote-001,s2-1,quote,1,101,5d8a62f456e294c9ffb508d8e5b998f487ab1704,C,F1-15,,,,,OVERRIDE:C-s2-1-quote-001,,"Note: this diagram is a logical model of the checkpoints, not a wire-level trace. When Hop #2/#6 run via `guardrailConfiguration` attached to the model invocation, they execute inside the Bedrock Runtime call rather than as separate API round-trips; Hop #2-ALT (ApplyGuardrail, Section 3.3) is a separate round-trip."
C-s3-1-prose-001,s3-1,prose,1,107,9d2200789b7aaebc4a3e22af1781292a6578540f,C,F1-19,,,,,TYPE:s3-1/prose,,**Service:** Amazon Bedrock AgentCore Gateway + Policy in AgentCore
C-s3-1-bullet-001,s3-1,bullet,1,111,697660c5496b77c4e31a16543ac06521a153a942,C,F1-3 F1-7 F1-8,,,,,TYPE:s3-1/bullet,,Intercepts incoming requests at the gateway level BEFORE they reach the agent
C-s3-1-bullet-002,s3-1,bullet,2,112,8ee347475eccbcc59e17dc4e62179a914137fe1c,C,F1-3 F1-7 F1-8,,,,,TYPE:s3-1/bullet,,Evaluates content against configured guardrail safeguards using Cedar policy conditions
C-s3-1-bullet-003,s3-1,bullet,3,113,ee9a2b19a0e862e80d486eb34ef5e18808366834,C,F1-3 F1-7 F1-8,,,,,TYPE:s3-1/bullet,,Blocks violating requests immediately — the agent is never invoked
C-s3-1-bullet-004,s3-1,bullet,4,117,aa2c6a2b3683fedbc53ac5c7186996164f03f532,C,F1-3 F1-7 F1-8,,,,,TYPE:s3-1/bullet,,"Prompt Attack detection (JAILBREAK, PROMPT_INJECTION, PROMPT_LEAKAGE)"
C-s3-1-bullet-005,s3-1,bullet,5,118,3bcfa44ae65f03e0e652f197ad6f43b1b3d19b12,C,F1-7 F1-18,,,,,OVERRIDE:C-s3-1-bullet-005,,"Content Filter (categories with configurable thresholds; confidence scores are discrete values {0, 0.2, 0.4, 0.6, 0.8, 1.0}, not a continuous range)"
C-s3-1-bullet-006,s3-1,bullet,6,119,704f3708cf5bb3f58b2bdfd6e1860dfcf85c1b4b,C,F1-3 F1-7 F1-8,,,,,TYPE:s3-1/bullet,,Sensitive Information detection
C-s3-1-prose-004,s3-1,prose,4,121,ebbdb2506310cff903cfead28308665dfaf6eada,C,F1-19,,,,,TYPE:s3-1/prose,,"**Thresholds:** if you author policies through the natural-language authoring service and do not specify a threshold, AgentCore applies defaults of Content Filter = 0.2, Prompt Attack = 0.4, Sensitive Information = 0.2. **If you hand-write Cedar policies without the authoring service, you MUST provide the threshold value explicitly — there is no automatic default.** Content Filter categories: VIOLENCE, HATE, SEXUAL, MISCONDUCT, INSULTS."
C-s3-1-bullet-007,s3-1,bullet,7,125,cc05ba7bb682508abe60d3758a3d1f93d0fc119b,C,F1-3 F1-7 F1-8,,,,,TYPE:s3-1/bullet,,Define guardrails inline within Cedar policies using `when guardrails { ... }` or `unless guardrails { ... }` conditions
C-s3-1-bullet-008,s3-1,bullet,8,126,e0879571de7d44ae6762f63d3c1dea1af6a38d79,C,F1-3 F1-7 F1-8,,,,,TYPE:s3-1/bullet,,Attach the policy engine to your AgentCore Gateway
C-s3-1-bullet-009,s3-1,bullet,9,127,5f99cb99d2e14c96032962e5b2a39653dc0cb161,C,F1-3 F5-4b,,,,,OVERRIDE:C-s3-1-bullet-009,,Gateway Execution Role must have permissions for both AgentCore operations (`bedrock-agentcore:*`) and Bedrock Guardrails. The required Guardrails permission is `bedrock:InvokeGuardrailChecks` — the Policy data plane uses FAS (Forward Access Session) credentials to call this API on your behalf. Note: InvokeGuardrailChecks (used by Gateway policy) is distinct from the standalone ApplyGuardrail API in Section 3.3.
C-s3-1-quote-001,s3-1,quote,1,129,6a2a09e04d434cb796616b002498962bf04f6e69,E,F4-1 F1-3,M-default-deny-permit-gotcha,yes,,,OVERRIDE:C-s3-1-quote-001,,"**Critical setup gotcha (ENFORCE + default-deny):** Cedar is default-deny — if no policy matches, the request is denied. A policy engine in ENFORCE mode that contains only guardrail policies (and no explicit `permit`) will therefore **block ALL gateway traffic, including benign requests**. Always include an explicit baseline permit, e.g. `permit (principal, action, resource is AgentCore::Gateway);`, alongside your guardrail policies (this is exactly what the official getting-started guide does)."
C-s3-1-bullet-010,s3-1,bullet,10,133,2abd5daeb070d62f690c66642b3ec23f50cdefba,C,F1-3 F1-7 F1-8,,,,,TYPE:s3-1/bullet,,Added latency at the gateway entry point
C-s3-1-bullet-011,s3-1,bullet,11,134,3f20839f0a38d70149af0ad5fcf4ac1fcd6811f7,C,F1-3 F1-7 F1-8,,,,,TYPE:s3-1/bullet,,"If blocked, no further downstream processing occurs (saves overall latency)"
C-s3-1-bullet-012,s3-1,bullet,12,135,973578e4f89b61151a9f9019495cbc9041e24642,O,F6-1 F7-1,,,,,OVERRIDE:C-s3-1-bullet-012,,Note: AWS documentation does not publish parallelism or latency characteristics for Gateway policy guardrail evaluation — measure your own baseline with the `GuardrailLatency` metric (Section 6.2)
C-s3-1-bullet-013,s3-1,bullet,13,139,aa6be383158a6bc3b1b37328bbc651d960d79fa3,S,F2-2 F2-3 F2-4,M-guardrails-nondeterministic,yes,,,OVERRIDE:C-s3-1-bullet-013,,"Guardrail evaluation is **non-deterministic** — per AWS: ""The same input can result in different outputs. Policies, however, are deterministic."" Design thresholds and tests accordingly."
C-s3-1-bullet-014-a,s3-1,bullet,14,140,75b90ee42b92d087ab529d5518cd2c8699a8a061,X,,M-fail-secure-timeout-deny,yes,,"Fail-secure on policy-evaluation TIMEOUT. AgentCore exposes no fault-injection surface to induce a service-side evaluation timeout, so the claim cannot be tested directly. Nearest proxies ARE run: F5-4a (policy that cannot evaluate) and F5-4b (guardrail evaluation impossible). Source remains Accelerator v2.9 -> release gate applies. Remedy: an AWS-documented timeout guarantee or a fault-injection capability.",SPLIT_X:C-s3-1-bullet-014-a,split-part a of C-s3-1-bullet-014,"Policy evaluation TIMEOUTS result in DENY  [split of: Fail-secure: Policy evaluation timeouts result in an automatic DENY decision (AgentCore Service Approval Accelerator v2.9, Policy section).]"
C-s3-1-bullet-014-b,s3-1,bullet,14,140,75b90ee42b92d087ab529d5518cd2c8699a8a061,E,F5-4a F5-4b,,,,,OVERRIDE:C-s3-1-bullet-014-b,split-part b of C-s3-1-bullet-014,"A policy that cannot be evaluated results in DENY  [split of: Fail-secure: Policy evaluation timeouts result in an automatic DENY decision (AgentCore Service Approval Accelerator v2.9, Policy section).]"
C-s3-1-bullet-015,s3-1,bullet,15,141,279583a72cad797b14a7e49be8f3c7768f6357bb,E,F4-6,M-http-403-policy-id,yes,,,OVERRIDE:C-s3-1-bullet-015,,Denied requests receive HTTP 403 with a message identifying the denying policy ID.
C-s3-1-numitem-001,s3-1,numitem,1,145,3e4df8425908aa2aeb62f9d8fe592b666d8cfe6e,N,,,,,"Best-practice recommendation: a prescription addressed to the reader, not a proposition about AWS behaviour, so no experiment can falsify it. The underlying capability it presumes IS tested (see the same section's C/S claims); whether following the recommendation is advisable remains a value judgement. Recommendations that do make a measurable prediction are operationalized individually in OVERRIDES.",TYPE:s3-1/numitem,,Configure only the minimum necessary safeguards at the gateway level to reduce latency
C-s3-1-numitem-002,s3-1,numitem,2,146,dd09a9b2b1ff7ea09d6d84fe3e38511e0443aeb6,N,,,,,"Best-practice recommendation: a prescription addressed to the reader, not a proposition about AWS behaviour, so no experiment can falsify it. The underlying capability it presumes IS tested (see the same section's C/S claims); whether following the recommendation is advisable remains a value judgement. Recommendations that do make a measurable prediction are operationalized individually in OVERRIDES.",TYPE:s3-1/numitem,,Use aggressive thresholds (closer to 0) only for high-risk categories; use moderate thresholds for general content
C-s3-1-numitem-003,s3-1,numitem,3,147,5ab7364b5b6e0adcbe631e68ea90373ac6d39d6c,N,,,,,"Best-practice recommendation: a prescription addressed to the reader, not a proposition about AWS behaviour, so no experiment can falsify it. The underlying capability it presumes IS tested (see the same section's C/S claims); whether following the recommendation is advisable remains a value judgement. Recommendations that do make a measurable prediction are operationalized individually in OVERRIDES.",TYPE:s3-1/numitem,,"Monitor the gateway Latency and Duration metrics (namespace `AWS/Bedrock-AgentCore`) plus the Policy metrics in Section 6.2 (GuardrailLatency, ConfidenceScore, DenyDecisions) in CloudWatch"
C-s3-1-numitem-004,s3-1,numitem,4,148,e0009900090d5b458f4aa8688641e4d544ec2d5c,N,,,,,"Best-practice recommendation: a prescription addressed to the reader, not a proposition about AWS behaviour, so no experiment can falsify it. The underlying capability it presumes IS tested (see the same section's C/S claims); whether following the recommendation is advisable remains a value judgement. Recommendations that do make a measurable prediction are operationalized individually in OVERRIDES.",TYPE:s3-1/numitem,,Leverage the gateway's early-block behavior to save downstream compute costs
C-s3-1-numitem-005,s3-1,numitem,5,149,fb2cfa35850a8676646be07a23872b6a0cf2712f,E,F5-2,M-update-gateway-risk,yes,,,OVERRIDE:C-s3-1-numitem-005,,Protect the enforcement mode: any principal with `bedrock-agentcore:UpdateGateway` can switch the gateway to LOG_ONLY or detach the policy engine entirely — AWS documents no separate condition key protecting this field. Grant UpdateGateway only to trusted principals and alarm on gateway configuration changes via CloudTrail.
C-s3-2-prose-001,s3-2,prose,1,155,07a4157a74c8a4f6acd1621bbccd04222fed9b4e,C,F1-2,,,,,TYPE:s3-2/prose,,**Service:** Amazon Bedrock Guardrails (standalone service)
C-s3-2-bullet-001,s3-2,bullet,1,159,3563c3d66148917458a4d10fd4ab44eb15fabcb2,C,F1-7 F1-10,,,,,TYPE:s3-2/bullet,,Evaluates the user prompt BEFORE model inference when `guardrailConfiguration` is attached to the model invocation
C-s3-2-bullet-002-a,s3-2,bullet,2,160,32bee2f6b73707ef4f809b511c9e8d13451ee5b8,S,F10-1,M-billing-asymmetry,yes,,,OVERRIDE:C-s3-2-bullet-002-a,split-part a of C-s3-2-bullet-002,"An input-blocked request incurs no model-inference charge  [split of: If the input violates a configured policy, model inference is NOT executed — and you are not charged for model inference (you pay only the guardrail evaluation). If the OUTPUT is blocked instead, you still pay for the full model inference plus guardrail evaluation of both input and response. This billing asymmetry is the quantitative rationale for the ""fail fast at the outermost layer"" principle (Section 7.1):]"
C-s3-2-bullet-002-b,s3-2,bullet,2,160,32bee2f6b73707ef4f809b511c9e8d13451ee5b8,S,F10-1,,,,,OVERRIDE:C-s3-2-bullet-002-b,split-part b of C-s3-2-bullet-002,"An output-blocked request IS charged for model inference  [split of: If the input violates a configured policy, model inference is NOT executed — and you are not charged for model inference (you pay only the guardrail evaluation). If the OUTPUT is blocked instead, you still pay for the full model inference plus guardrail evaluation of both input and response. This billing asymmetry is the quantitative rationale for the ""fail fast at the outermost layer"" principle (Section 7.1):]"
C-s3-2-mermaid-001,s3-2,mermaid,1,162,4ba612aeada3978164dd26e274fa3cb89aed7f2a,S,F10-1,,,,,TYPE:s3-2/mermaid,,Input arrives
C-s3-2-mermaid-002,s3-2,mermaid,2,162,e5c2ba33a665f778f492b089e0f1543b3700d751,S,F10-1,,,,,TYPE:s3-2/mermaid,,Hop #2 input guardrail
C-s3-2-mermaid-003,s3-2,mermaid,3,162,35443a381862d858c9d0c9f5277bb30d1e9fb4ac,S,F10-1,M-billing-asymmetry,no,C-s3-2-bullet-002-a,,INHERIT:C-s3-2-bullet-002-a (via M-billing-asymmetry),,BLOCKED at input 💰 pay: 1× guardrail eval ✅ model inference: $0
C-s3-2-mermaid-004,s3-2,mermaid,4,162,90f4ae1180c80bd561d0791775bb79ade786bdf7,S,F10-1,,,,,TYPE:s3-2/mermaid,,violation
C-s3-2-mermaid-005,s3-2,mermaid,5,162,848be494a447445e5232f2a65624ac059ad22428,S,F10-1,,,,,TYPE:s3-2/mermaid,,Hop #3 model inference 💰 full inference cost
C-s3-2-mermaid-006,s3-2,mermaid,6,162,9d4e1e23bd5b727046a9e3b4b7db57bd8d6ee684,S,F10-1,,,,,TYPE:s3-2/mermaid,,pass
C-s3-2-mermaid-007,s3-2,mermaid,7,162,9edfb8c6061a1196c0cf75178fb2fc17f6d9a79a,S,F10-1,,,,,TYPE:s3-2/mermaid,,Hop #6 output guardrail
C-s3-2-mermaid-008,s3-2,mermaid,8,162,19017d0074ba312e2b2fb4be26e5ba109fbafb23,S,F10-1,M-billing-asymmetry,no,C-s3-2-bullet-002-a,,INHERIT:C-s3-2-bullet-002-a (via M-billing-asymmetry),,BLOCKED at output 💰 pay: inference + 2× guardrail eval ❌ inference cost NOT refunded
C-s3-2-mermaid-009,s3-2,mermaid,9,162,2959b55da23d4ca32e051a020aac786d31fcce42,S,F10-1,,,,,TYPE:s3-2/mermaid,,Response served 💰 pay: inference + 2× guardrail eval
C-s3-2-bullet-003,s3-2,bullet,3,172,2548cd56edc53ca891820ef23b5906bb4b6f4142,S,F3-3,,,,,OVERRIDE:C-s3-2-bullet-003,,Supports the full range of guardrail policies (more comprehensive than Gateway-level)
